#,Set,Set,Name,Team,Pts,Year,OB/C,Sp/IP,Pos,Pos1,Pos2,Arm,Icon,PU,SO,GB,FB,BB,1B,1B+,2B,3B,HR
30,PR,PR,Carlos Beltran,Royals,300,'02,9,21,CF+3,CF+3,,S,,,1-3,4-,5-6,7-9,10-14,15-16,17-18,19-,20+
34,PR,PR,Geoff Jenkins,Brewers,80,'02,8,14,LF-RF+2,LF-RF+2,,L,,,1-6,-,7-,8-10,11-16,-,17-18,-,19+
35,PR,PR,Eric Karros,Dodgers,140,'02,9,11,1B+1,1B+1,,R,,,1-3,4-6,7-,8-10,11-16,-,17-18,-,19+
37,PR,PR,Adam Dunn,Reds,440,'02,11,15,LF-RF+1,LF-RF+1,,L,,,1-6,-,7-,8-11,12-14,-,15-18,-,19+
38,PR,PR,Hank Blalock,Rangers,40,'02,9,14,3B+0,3B+0,,L,,,1-6,7-,-,8-12,13-16,-,17-19,-,20+
39,PR,PR,Marcus Giles,Braves,150,'02,10,12,2B+2,2B+2,,R,,,1-2,3-4,5-6,7-11,12-17,-,18-20,-,21+
45,PR,PR,Ray Durham,White Sox,350,'02,10,20,2B+3,2B+3,,S,,,1-,2-3,4-6,7-10,11-14,15-,16-18,19-,20+
49,PR,PR,Torii Hunter,Twins,310,'02,10,17,CF+3 LF-RF+2,CF+3 ,LF-RF+2,R,,,1-4,5-,6-7,8-9,10-15,-,16-17,-,18+
51,PR,PR,Carlos Pena,Athletics,310,'02,9,16,1B+1,1B+1,,L,,,1-4,5-6,7-,8-12,13-16,-,17-18,-,19+
52,PR,PR,Sean Burroughs,Padres,70,'02,8,16,3B+1,3B+1,,L,,,1-4,5-,6-7,8-10,11-16,17-,18-19,-,20+
59,PR,PR,Rickey Henderson,Red Sox,160,'02,10,18,LF-RF+0,LF-RF+0,,R,,,1-2,3-4,5-6,7-14,15-16,18-,19-,-,20+
60,PR,PR,Nick Johnson,Yankees,70,'02,10,8,1B+0,1B+0,,L,,,1-5,6-,7-,8-14,15-18,-,19-,-,20+
62,PR,PR,Jose Hernandez,Brewers,300,'02,10,14,SS+3,SS+3,,R,,,1-6,-,-,7-9,10-15,-,16-17,-,18+
64,PR,PR,Alfonso Soriano,Yankees,340,'02,10,18,2B+1,2B+1,,R,,,1-3,4-,5-6,7-,8-13,14-16,17-18,19-,20+
67,PR,PR,Austin Kearns,Reds,460,'02,12,14,LF-RF+1,LF-RF+1,,R,,,1-3,4-5,6-,7-11,12-16,14-,18-19,-,20+
70,PR,PR,Derek Jeter,Yankees,330,'02,12,19,SS+0,SS+0,,R,,,1-2,3-5,6-7,8-13,14-16,17-,18-,19-,20+
74,PR,PR,Luis Castillo,Marlins,300,'02,10,21,2B+2,2B+2,,S,,,1-3,4-5,6-,7-10,11-16,17-19,-,20-24,25+
76,PR,PR,Bobby Abreu,Phillies,450,'02,11,18,LF-RF+1,LF-RF+1,,L,,,1-3,4-,5-6,7-12,13-14,15-,16-19,-,20+
84,PR,PR,Corey Patterson,Cubs,80,'02,8,20,CF+1 LF-RF+0,CF+1 ,LF-RF+0,L,,,1-3,4-6,7-,8-10,11-16,17-,18-20,-,21+
85,PR,PR,Adrian Beltre,Dodgers,190,'02,9,18,3B+1,3B+1,,R,,,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
87,PR,PR,Doug Mientkiewicz,Twins,160,'02,11,10,1B+0,1B+0,,L,,,1-3,4-5,6-7,8-12,13-17,-,18-19,-,20+
88,PR,PR,Jeffrey Hammonds,Brewers,180,'02,10,14,LF-RF+1,LF-RF+1,,R,,,1-4,5-6,7-,8-12,13-16,-,17-19,-,20+
89,PR,PR,Jeremy Giambi,Phillies,280,'02,12,10,LF-RF+0,LF-RF+0,,L,,,1-4,5-,6-,7-12,13-16,-,17-18,-,19+
95,SS,SS,Fred McGriff '92,Padres,340,'02,12,14,1B+0,1B+0,,L,,,1-5,6-,7-,8-13,14-15,-,16-17,-,18+
99,SS,SS,Ron Gant '93,Braves,550,'02,12,21,LF-RF+1,LF-RF+1,,R,,,1-5,6-,7-,8-12,13-15,-,16-18,19-,20+
102,SS,SS,Gary Sheffield '96,Marlins,640,'02,14,15,LF-RF+1,LF-RF+1,,R,,,1-2,3-,4-6,7-13,14-15,-,16-17,-,18+
105,SS,SS,Chipper Jones '98,Braves,500,'02,13,15,3B+2,3B+2,,S,,,1-3,4-5,6-,7-12,13-14,15-,16-17,18-,19+
110,SS,SS,Edgar Martinez '95,Mariners,660,'02,15,12,3B+0,3B+0,,R,,,1-4,5-6,7-,8-12,13-15,-,16-19,-,20+
113,SS,SS,Sammy Sosa '98,Cubs,610,'02,13,15,LF-RF+1,LF-RF+1,,R,,,1-6,-,7-,8-12,13-15,-,16-,-,17+
114,SS,SS,Roberto Alomar '93,Blue Jays,560,'02,14,23,2B+6,2B+6,,S,,,1-2,3-5,6-7,8-12,13-14,15-,16-19,-,20+
117,SS,SS,Frank Thomas '94,White Sox,810,'02,15,12,1B+1,1B+1,,R,,,1-3,4-5,6-7,8-14,15-,-,16-17,-,18+
120,SS,SS,Ken Griffey Jr. '97,Mariners,540,'02,13,15,CF+4,CF+4,,L,,,1-4,5-,6-7,8-12,13-14,15-,16-,-,17+
124,SS,SS,Ellis Burks '96,Rockies,500,'02,13,18,CF+3,CF+3,,R,,,1-3,4-6,7-,8-11,12-14,-,15-17,18-,19+
3,TD,TD,Ben Davis,Mariners,130,'02,10,11,C+6,C+6,,S,,,1-3,4-5,6-,7-12,13-18,-,19-,-,20+
6,TD,TD,Tony Clark,Red Sox,230,'02,11,12,1B+0,1B+0,,S,,,1-3,4-6,-,7-9,10-16,-,17-19,-,20+
10,TD,TD,Brad Fullmer,Angels,140,'02,10,14,---,---,,L,,,1-,2-3,4-7,8-9,10-16,-,17-18,-,19+
12,TD,TD,Gary Sheffield,Braves,420,'02,12,15,LF-RF+1,LF-RF+1,,R,,,1-,2-3,4-6,7-11,12-16,-,17-,-,18+
13,TD,TD,Marty Cordova,Orioles,220,'02,11,12,LF-RF+2,LF-RF+2,,R,,,1-3,4-5,6-7,8-9,10-16,-,17-18,-,19+
28,TD,TD,David Justice,Athletics,90,'02,10,12,---,---,,L,,,1-3,4-6,7-,8-12,13-17,-,18-,-,19+
31,TD,TD,Reggie Sanders,Giants,280,'02,10,18,LF-RF+1,LF-RF+1,,R,,,1-5,-,6-7,8-12,13-14,15-,16-,-,17+
35,TD,TD,Carl Everett,Rangers,220,'02,9,18,OF+0,OF+0,,S,,,1-4,5-6,-,7-9,10-14,15-,16-17,18-,19+
37,TD,TD,Rafael Furcal,Braves,120,'02,9,16,SS+3,SS+3,,S,,,1-,2-5,6-,7-9,10-16,17-18,19-24,-,25+
41,TD,TD,David Segui,Orioles,240,'02,12,12,1B+0,1B+0,,S,,,1-3,4-5,6-,7-11,12-17,-,18-19,-,20+
48,TD,TD,Travis Fryman,Indians,10,'02,10,10,3B+0,3B+0,,R,,,1-2,3-4,5-7,8-11,12-18,-,19-25,-,26+
49,TD,TD,Juan Uribe,Rockies,350,'02,9,18,SS+2,SS+2,,R,,,1-3,4-,5-6,-,7-13,-,14-15,16-18,19+
53,TD,TD,Robert Fick,Tigers,240,'02,10,12,C+6,C+6,,L,,,1-,2-3,4-7,8-10,11-16,-,17-18,-,19+
56,TD,TD,Derrek Lee,Marlins,220,'02,10,15,1B+1,1B+1,,R,,,1-3,4-,5-6,7-10,11-16,-,17-18,-,19+
60,TD,TD,Mike Lieberthal,Phillies,110,'02,9,12,C+6,C+6,,R,,,1-2,3-,4-7,8-12,13-17,-,18-23,-,24+
63,TD,TD,Randy Winn,Devil Rays,150,'02,10,18,LF-RF+1,LF-RF+1,,S,,,1-2,3-6,7-,8-10,11-16,17-,18-19,20-24,25+
66,TD,TD,Carlos Pena,Athletics,240,'02,10,16,1B+0,1B+0,,L,,,1-5,6-,7-,8-11,12-16,-,17-18,-,19+
70,TD,TD,Gregg Zaun,Astros,390,'02,12,11,C+6,C+6,,S,,,1-,2-4,5-7,8-10,11-16,-,17-18,-,19+
71,TD,TD,Eric Hinske,Blue Jays,230,'02,10,16,3B+1,3B+1,,L,,,1-5,6-,7-,8-10,11-15,16-,17-18,-,19+
73,TD,TD,Rondell White,Yankees,230,'02,11,12,LF-RF+1,LF-RF+1,,R,,,1-2,3-6,7-,8-10,11-16,-,17-18,-,19+
74,TD,TD,Armando Rios,Pirates,240,'02,9,15,LF-RF+1,LF-RF+1,,L,,,1-3,4-5,6-,7-10,11-15,-,16-17,-,18+
75,TD,TD,Desi Relaford,Mariners,290,'02,11,15,SS+3 2B+2,SS+3 ,2B+2,S,,,1-3,4-,5-7,8-10,11-15,16-,17-19,-,20+
78,TD,TD,Mitch Meluskey,Tigers,280,'02,11,10,C+4,C+4,,S,,,1-2,3-4,5-,6-10,11-17,-,18-19,-,20+
81,TD,TD,Adrian Brown,Pirates,270,'02,10,19,OF+1,OF+1,,S,,,1-,2-4,5-,7-9,10-16,17-,18-19,-,20+
85,TD,TD,Andres Galarraga,Expos,150,'02,10,11,1B+0,1B+0,,R,,,1-5,6-,-,8-11,12-15,-,16-18,-,19+
145,TD,TD,Denny Hocking,Twins,120,'02,9,16,SS+3,SS+3,,S,,,1-2,3-4,5-6,7-10,11-17,18-,19-24,-,25+
356,UL,UL,Vernon Wells,Blue Jays,180,'02,10,16,OF+1,OF+1,,R,,,1-,2-4,5-7,8-9,10-16,-,17-19,-,20+
3,1ST,1ST,Ron Gant,Angels,270,'01,8,15,LF-RF+1,LF-RF+1,,R,,,1-3,4-,5-,6-11,12-15,-,16-,-,17-20
13,1ST,1ST,Scott Spiezio,Angels,250,'01,8,15,---,---,,S,,,1-2,3-,4-5,6-11,12-15,-,16-,-,17-20
41,1ST,1ST,Javy Lopez,Braves,240,'01,8,10,C+4,C+4,,R,,,1-,2-4,5-,6-7,8-15,-,16-17,-,18-20
48,1ST,1ST,Brady Anderson,Orioles,330,'01,9,20,OF+1,OF+1,,L,,,1-2,-,3-4,5-12,13-16,17-,18-,-,19-20
