#,Set,Set,Name,Team,Pts,Year,OB/C,Sp/IP,Pos,Pos1,Pos2,Arm,Icon,PU,SO,GB,FB,BB,1B,1B+,2B,3B,HR
6,P,P,C.C. Sabathia,Indians,490,2005,3,7,Starter,Starter,,L,,2-Jan,3-,12-Apr,13-18,19-,20-23,-,24-26,-,27+
7,P,P,Jason Johnson,Tigers,90,2005,2,6,Starter,Starter,,R,,3-Jan,6-Apr,14-Jul,15-16,17-,18-19,-,20-24,-,25+
8,P,P,Tim Spooneybarger,Marlins,310,2005,6,1,Reliever,Reliever,,R,,-,4-Jan,14-May,15-17,18-,19-23,-,24-27,-,28+
9,P,P,Jeff Kent,Astros,430,2005,10,12,2B+2,2B+2,,R,,-,1-,3-Feb,6-Apr,9-Jul,15-Oct,-,16-17,18-,19+
10,P,P,Nate Field,Royals,130,2005,3,1,Reliever,Reliever,,R,,1-,5-Feb,10-Jun,16-Nov,17-,18-19,-,20-24,-,25+
11,P,P,Jimmy Gobble,Royals,220,2005,3,6,Starter,Starter,,L,,5-Jan,7-Jun,14-Aug,15-16,17-,18-19,-,20-23,-,24+
12,P,P,Edwin Jackson,Dodgers,10,2005,1,5,Starter,Starter,,R,,3-Jan,7-Apr,13-Aug,14-15,16-,17-18,-,19-20,-,21+
13,P,P,Jose Lima,Dodgers,430,2005,4,7,Starter,Starter,,R,,2-Jan,7-Mar,13-Aug,14-17,18-,19-20,-,21-24,-,25+
14,P,P,Justin Morneau,Twins,130,2005,10,8,1B+0,1B+0,,L,,-,2-Jan,4-Mar,7-May,11-Aug,16-Dec,-,17-18,-,19+
15,P,P,Juan Rincon,Twins,250,2005,5,1,Reliever,Reliever,,R,,3-Jan,10-Apr,15-Nov,16-17,18-,19-22,-,23-25,-,26+
16,P,P,Luis Rivas,Twins,210,2005,9,15,2B+3,2B+3,,R,,-,1-,4-Feb,6-May,8-Jul,14-Sep,15-,16-18,19-,20+
17,P,P,Joe McEwing,Mets,10,2005,9,10,2B+4,2B+4,,R,,-,2-Jan,4-Mar,6-May,9-Jul,19-Oct,-,20-,-,21+
18,P,P,Eric Valent,Mets,120,2005,9,8,1B+1 LF-RF+1,1B+1 ,LF-RF+1,L,,-,2-Jan,4-Mar,6-May,10-Jul,16-Nov,-,17-18,-,19+
19,P,P,Billy Wagner,Phillies,310,2005,6,1,Closer,Closer,,L,,2-Jan,9-Mar,15-Oct,16-18,-,19-21,-,22-23,-,24+
20,P,P,Jack Wilson,Pirates,560,2005,11,12,SS+3,SS+3,,R,S,-,1-,3-Feb,4-,6-May,15-Jul,-,16-18,19-,20+
21,P,P,Pedro Feliz,Giants,230,2005,9,11,1B+1 3B+1,1B+1 ,3B+1,R,,-,2-Jan,4-Mar,6-May,8-Jul,15-Sep,-,16-18,-,19+
22,P,P,Willie Bloomquist,Mariners,10,2005,9,14,3B+0,3B+0,,R,,-,2-Jan,4-Mar,6-May,8-Jul,15-Sep,16-17,18-19,-,20+
23,P,P,Geoff Blum,Devil Rays,10,2005,9,10,IF+0,IF+0,,S,,-,2-Jan,5-Mar,8-Jun,11-Sep,16-Dec,-,17-19,-,20+
24,P,P,Mark Teixeira,Rangers,460,2005,11,10,1B+0,1B+0,,S,S,-,2-Jan,4-Mar,6-May,10-Jul,15-Nov,-,16-18,-,19+
25,P,P,Michael Young,Rangers,490,2005,11,13,SS+2,SS+2,,R,,-,1-,3-Feb,6-Apr,8-Jul,15-Sep,16-,17-18,19-,20+
1,TD,TD,Steve Finley,Angels,320,2005,9,12,CF+0,CF+0,,L,,-,1-,3-Feb,5-Apr,9-Jun,16-Oct,-,17-18,-,19+
2,TD,TD,Josh Phelps,Devil Rays,110,2005,9,10,1B+0,1B+0,,R,,-,2-Jan,5-Mar,7-Jun,10-Aug,16-Nov,-,17-18,-,19+
3,TD,TD,Magglio Ordonez,Tigers,180,2005,10,10,LF-RF+2,LF-RF+2,,R,,-,1-,4-Feb,6-May,10-Jul,17-Nov,-,18-,-,19+
4,TD,TD,Nick Johnson,Nationals,250,2005,11,11,1B+1,1B+1,,L,,-,2-Jan,5-Mar,6-,11-Jul,16-Dec,-,17-18,-,19+
5,TD,TD,Carlos Lee,Brewers,460,2005,11,13,LF-RF+1,LF-RF+1,,R,,-,1-,3-Feb,6-Apr,9-Jul,15-Oct,16-,17-18,-,19+
6,TD,TD,Quinton McCracken,Diamondbacks,10,2005,9,10,LF-RF+0,LF-RF+0,,S,,-,1-,4-Feb,6-May,9-Jul,17-Oct,-,18-20,-,21+
7,TD,TD,Shawn Estes,Diamondbacks,10,2005,1,6,Starter,Starter,,L,,1-,4-Feb,12-May,13-15,16-17,18-19,-,20-23,-,24+
8,TD,TD,J.J. Putz,Mariners,60,2005,2,1,Reliever,Reliever,,R,,2-Jan,6-Mar,13-Jul,14-16,17-,18-19,-,20-23,-,24+
9,TD,TD,Mike DeJean,Mets,10,2005,1,1,Reliever,Reliever,,R,,1-,5-Feb,11-Jun,14-Dec,15-16,17-19,-,20-27,-,28+
10,TD,TD,Juan Gonzalez,Indians,170,2005,9,10,LF-RF+1,LF-RF+1,,R,,-,1-,3-Feb,5-Apr,8-Jun,17-Sep,-,18-,-,19+
11,TD,TD,Eric Young,Padres,50,2005,11,14,LF-RF+0,LF-RF+0,,R,,-,1-,4-Feb,7-May,11-Aug,17-Dec,18-,19-20,-,21+
12,TD,TD,Matt Mantei,Red Sox,10,2005,1,1,Reliever,Reliever,,R,,4-Jan,10-May,13-Nov,14-15,16-,17-18,-,19-,-,20+
13,TD,TD,Neal Cotts,White Sox,70,2005,2,1,Reliever,Reliever,,L,,2-Jan,7-Mar,13-Aug,14-16,17-,18-19,-,20-22,-,23+
14,TD,TD,Mark Sweeney,Padres,230,2005,11,10,LF-RF+2,LF-RF+2,,L,,-,2-Jan,4-Mar,6-May,12-Jul,13-16,-,17-18,-,19+
15,TD,TD,Glendon Rusch,Cubs,400,2005,4,5,Starter,Starter,,L,,2-Jan,6-Mar,12-Jul,13-16,17-,18-19,-,20-25,-,26+
16,TD,TD,Terrmel Sledge,Nationals,30,2005,9,13,LF-RF+1,LF-RF+1,,L,,-,2-Jan,4-Mar,7-May,11-Aug,17-Dec,-,18-19,-,20+
17,TD,TD,Ron Villone,Mariners,10,2005,2,1,Reliever,Reliever,,L,,2-Jan,6-Mar,12-Jul,13-15,16-17,18-19,-,20-24,-,25+
18,TD,TD,Troy Glaus,Diamondbacks,270,2005,10,10,3B+0,3B+0,,R,,-,2-Jan,4-Mar,6-May,11-Jul,15-Dec,-,16-17,-,18+
19,TD,TD,Wilson Valdez,Mariners,40,2005,9,13,SS+3,SS+3,,R,,-,1-,4-Feb,6-May,9-Jul,17-Oct,-,18-20,-,21+
20,TD,TD,B.J. Surhoff,Orioles,210,2005,11,10,LF-RF+1,LF-RF+1,,L,,-,1-,3-Feb,6-Apr,9-Jul,18-Oct,-,19-,-,20+
21,TD,TD,Kazuhisa Ishii,Mets,120,2005,2,6,Starter,Starter,,L,,1-,4-Feb,8-May,15-Sep,16-17,18-19,-,20-23,-,24+
22,TD,TD,Dustin Hermanson,White Sox,280,2005,3,5,Starter,Starter,,R,,2-Jan,6-Mar,12-Jul,13-16,17-,18-19,-,20-24,-,25+
23,TD,TD,Al Leiter,Marlins,100,2005,2,6,Starter,Starter,,L,,2-Jan,6-Mar,12-Jul,13-16,17-18,19-,-,20-25,-,26+
24,TD,TD,Octavio Dotel,Athletics,290,2005,5,1,Closer,Closer,,R,,2-Jan,10-Mar,13-Nov,14-17,18-,19-,-,20-24,-,25+
25,TD,TD,Henry Blanco,Cubs,10,2005,9,10,C+8,C+8,,R,,-,2-Jan,5-Mar,9-Jun,11-Oct,16-Dec,-,17-19,-,20+
26,TD,TD,J.D. Drew,Dodgers,640,2005,14,13,LF-RF+1,LF-RF+1,,L,,-,2-Jan,4-Mar,6-May,12-Jul,13-15,16-17,18-,-,19+
27,TD,TD,Kevin Millwood,Indians,320,2005,3,7,Starter,Starter,,R,,2-Jan,7-Mar,13-Aug,14-17,18-,19-22,-,23-24,-,25+
28,TD,TD,Sandy Alomar Jr.,Rangers,50,2005,9,10,C+7,C+7,,R,,-,1-,4-Feb,6-May,9-Jul,18-Oct,-,19-,-,20+
29,TD,TD,John Riedling,Marlins,40,2005,1,1,Reliever,Reliever,,R,,3-Jan,6-Apr,14-Jul,15-16,17-,18-19,-,20-24,-,25+
30,TD,TD,Rich Harden,Athletics,480,2005,5,7,Starter,Starter,,R,,1-,4-Feb,12-May,13-16,17-,18-20,-,21-25,-,26+
31,TD,TD,Aaron Sele,Mariners,20,2005,1,5,Starter,Starter,,R,,3-Jan,5-Apr,12-Jun,13-15,16-,17-19,-,20-24,-,25+
32,TD,TD,Carlos Beltran,Mets,520,2005,11,23,CF+2,CF+2,,S,,-,1-,3-Feb,6-Apr,11-Jul,12-,13-16,17-,18-,19+
33,TD,TD,Jose Lima,Royals,350,2005,4,5,Starter,Starter,,R,,2-Jan,5-Mar,12-Jun,13-16,-,17-18,-,19-21,-,22+
34,TD,TD,Richard Hidalgo,Rangers,150,2005,9,10,LF-RF+1,LF-RF+1,,R,,-,2-Jan,4-Mar,7-May,10-Aug,16-Nov,-,17-18,-,19+
35,TD,TD,Placido Polanco,Phillies,290,2005,10,12,2B+4,2B+4,,R,,-,1-,4-Feb,6-May,8-Jul,17-Sep,-,18-19,-,20+
36,TD,TD,Neifi Perez,Cubs,10,2005,9,10,SS+2,SS+2,,S,,-,1-,4-Feb,6-May,9-Jul,18-Oct,-,19-20,-,21+
37,TD,TD,Wilson Alvarez,Dodgers,440,2005,4,5,Starter,Starter,,L,,4-Jan,9-May,14-Oct,15-17,18-,19-22,-,23-24,-,25+
38,TD,TD,So Taguchi,Cardinals,120,2005,10,11,LF-RF+0,LF-RF+0,,R,,-,1-,4-Feb,6-May,9-Jul,17-Oct,-,18-19,-,20+
39,TD,TD,Matt Perisho,Marlins,110,2005,2,1,Reliever,Reliever,,L,,4-Jan,9-May,14-Oct,15-16,17-18,19-,-,20-23,-,24+
40,TD,TD,Roberto Hernandez,Mets,30,2005,1,1,Reliever,Reliever,,R,,2-Jan,6-Mar,13-Jul,14-16,17-,18-19,-,20-23,-,24+
41,TD,TD,Todd Walker,Cubs,140,2005,10,10,2B+1,2B+1,,L,,-,1-,3-Feb,5-Apr,10-Jun,16-Nov,-,17-18,-,19+
42,TD,TD,Jason Kendall,Athletics,250,2005,12,13,C+6,C+6,,R,,-,1-,5-Feb,7-Jun,10-Aug,17-Nov,18-,19-20,-,21+
43,TD,TD,Brett Myers,Phillies,100,2005,2,6,Starter,Starter,,R,,2-Jan,5-Mar,12-Jun,13-15,16-,17-18,-,19-22,-,23+
44,TD,TD,Carlos Silva,Twins,370,2005,4,7,Starter,Starter,,R,,2-Jan,7-Mar,14-Aug,15-16,17-,18-20,-,21-25,-,26+
45,TD,TD,Randy Johnson,Yankees,600,2005,6,7,Starter,Starter,,L,,2-Jan,9-Mar,13-Oct,14-16,17-,18-20,-,21-25,-,26+
46,TD,TD,Jeremy Bonderman,Tigers,300,2005,3,6,Starter,Starter,,R,,3-Jan,8-Apr,14-Sep,15-16,17-,18-19,-,20-23,-,24+
47,TD,TD,Orlando Cabrera,Angels,120,2005,9,15,SS+2,SS+2,,R,,-,1-,4-Feb,7-May,10-Aug,16-Nov,17-,18-19,-,20+
48,TD,TD,Carlos Delgado,Marlins,390,2005,12,10,1B+1,1B+1,,L,,-,2-Jan,4-Mar,6-May,11-Jul,16-Dec,-,17-,-,18+
49,TD,TD,A.J. Pierzynski,White Sox,330,2005,9,10,C+3,C+3,,L,,-,-,3-Jan,5-Apr,7-Jun,15-Aug,-,16-18,-,19+
50,TD,TD,Omar Vizquel,Giants,140,2005,10,16,SS+2,SS+2,,S,,-,1-,4-Feb,6-May,10-Jul,17-Nov,18-,19-20,-,21+
51,TD,TD,Lenny Harris,Marlins,10,2005,9,10,LF-RF+0,LF-RF+0,,L,,-,1-,8-Feb,11-Sep,12-,13-18,-,19-20,-,21+
52,TD,TD,Chris Carpenter,Cardinals,270,2005,4,7,Starter,Starter,,R,,-,5-Jan,13-Jun,14-16,17-,18-19,-,20-23,-,24+
53,TD,TD,Miguel Cairo,Mets,260,2005,10,13,2B+2,2B+2,,R,,-,1-,4-Feb,6-May,8-Jul,16-Sep,17-,18-,19-,20+
54,TD,TD,Sammy Sosa,Orioles,320,2005,11,10,LF-RF+1,LF-RF+1,,R,,-,3-Jan,5-Apr,7-Jun,12-Aug,13-16,-,17-18,-,19+
55,TD,TD,Royce Clayton,Diamondbacks,240,2005,10,12,SS+2,SS+2,,R,,-,2-Jan,5-Mar,6-,9-Jul,15-Oct,16-17,18-19,-,20+
56,TD,TD,Cal Eldred,Cardinals,60,2005,3,1,Reliever,Reliever,,R,,2-Jan,6-Mar,11-Jul,15-Dec,16-,17-18,-,19-22,-,23+
57,TD,TD,Rich Aurilia,Reds,70,2005,9,10,SS+1,SS+1,,R,,-,1-,3-Feb,6-Apr,10-Jul,17-Nov,-,18-19,-,20+
58,TD,TD,Orlando Palmeiro,Astros,40,2005,10,10,LF-RF+1,LF-RF+1,,L,,-,1-,3-Feb,6-Apr,11-Jul,18-Dec,-,19-,-,20+
59,TD,TD,Bengie Molina,Angels,130,2005,9,10,C+4,C+4,,R,,-,1-,4-Feb,6-May,8-Jul,17-Sep,-,18-19,-,20+
60,TD,TD,Ismael Valdez,Marlins,100,2005,2,5,Starter,Starter,,R,,3-Jan,5-Apr,12-Jun,13-15,16-,17-18,-,19-22,-,23+
61,TD,TD,Nate Bump,Marlins,30,2005,1,1,Reliever,Reliever,,R,,1-,4-Feb,13-May,14-15,16-,17-19,-,20-25,-,26+
62,TD,TD,David Wells,Red Sox,420,2005,5,6,Starter,Starter,,L,,1-,4-Feb,12-May,13-16,-,17-19,-,20-23,-,24+
63,TD,TD,Jermaine Dye,White Sox,190,2005,9,10,LF-RF+0,LF-RF+0,,R,,-,2-Jan,4-Mar,6-May,10-Jul,16-Nov,-,17-18,-,19+
64,TD,TD,Carlos Zambrano,Cubs,130,2005,3,7,Starter,Starter,,R,,2-Jan,7-Mar,14-Aug,15-16,17-,18-19,-,20-25,-,26+
65,TD,TD,David Newhan,Orioles,310,2005,11,13,LF-RF+0,LF-RF+0,,L,,-,1-,3-Feb,5-Apr,8-Jun,16-Sep,17-,18-19,20-,21+
66,TD,TD,Russ Springer,Astros,50,2005,1,1,Reliever,Reliever,,R,,4-Jan,7-May,11-Aug,16-Dec,17-,18-19,-,20-26,-,27+
67,TD,TD,Elmer Dessens,Dodgers,110,2005,2,5,Starter,Starter,,R,,2-Jan,6-Mar,14-Jul,15-16,17-,18-19,-,20-23,-,24+
68,TD,TD,Kris Benson,Mets,280,2005,3,6,Starter,Starter,,R,,2-Jan,6-Mar,13-Jul,14-16,17-,18-19,-,20-25,-,26+
69,TD,TD,Al Reyes,Cardinals,330,2005,4,1,Reliever,Reliever,,R,,4-Jan,9-May,14-Oct,15-16,17-19,20-21,-,22-25,-,26+
70,TD,TD,Tino Martinez,Yankees,320,2005,10,10,1B+0,1B+0,,L,,-,1-,3-Feb,5-Apr,10-Jun,16-Nov,-,17-18,-,19+
71,TD,TD,Ruben Sierra,Yankees,130,2005,9,10,LF-RF+1,LF-RF+1,,S,,-,1-,4-Feb,6-May,10-Jul,16-Nov,-,17-18,-,19+
72,TD,TD,Antonio Osuna,Nationals,190,2005,4,1,Reliever,Reliever,,R,,2-Jan,7-Mar,12-Aug,13-16,17-,18-19,-,20-25,-,26+
73,TD,TD,Moises Alou,Giants,420,2005,10,10,LF-RF+0,LF-RF+0,,R,,-,1-,3-Feb,5-Apr,10-Jun,16-Nov,-,17-18,-,19+
74,TD,TD,Brad Wilkerson,Nationals,520,2005,13,15,OF+1 1B+1,OF+1 ,1B+1,L,,-,2-Jan,4-Mar,6-May,10-Jul,15-Nov,16-,17-,18-,19+
75,TD,TD,Jason Christiansen,Giants,80,2005,1,1,Reliever,Reliever,,L,,1-,4-Feb,12-May,13-15,16-18,19-22,-,23-25,-,26+
76,TD,TD,Geoff Blum,Padres,10,2005,9,10,3B+1,3B+1,,S,,-,2-Jan,5-Mar,8-Jun,11-Sep,16-Dec,-,17-19,-,20+
77,TD,TD,Dennys Reyes,Padres,60,2005,1,5,Starter,Starter,,L,,1-,6-Feb,13-Jul,14-16,17-,18-19,-,20-24,-,25+
78,TD,TD,Craig Counsell,Diamondbacks,30,2005,9,15,IF+1,IF+1,,L,,-,1-,4-Feb,6-May,11-Jul,17-Dec,18-,19-20,-,21+
79,TD,TD,Rey Sanchez,Yankees,10,2005,9,10,2B+3,2B+3,,R,,-,1-,5-Feb,8-Jun,10-Sep,18-Nov,-,19-20,-,21+
80,TD,TD,Mark Hendrickson,Devil Rays,150,2005,2,6,Starter,Starter,,L,,2-Jan,5-Mar,13-Jun,14-17,18-,19-22,-,23-24,-,25+
81,TD,TD,Doug Mirabelli,Red Sox,350,2005,11,10,C+2,C+2,,R,,-,2-Jan,4-Mar,6-May,10-Jul,15-Nov,-,16-18,-,19+
82,TD,TD,Jeromy Burnitz,Cubs,270,2005,10,11,LF-RF+0,LF-RF+0,,L,,-,2-Jan,4-Mar,7-May,11-Aug,16-Dec,-,17-18,-,19+
83,TD,TD,Carl Pavano,Yankees,310,2005,4,7,Starter,Starter,,R,,1-,4-Feb,12-May,13-16,17-,18-19,-,20-25,-,26+
84,TD,TD,Richie Sexson,Mariners,240,2005,9,10,1B+1,1B+1,,R,,-,2-Jan,4-Mar,6-May,11-Jul,14-Dec,-,15-16,-,17+
85,TD,TD,Eric Milton,Reds,250,2005,3,6,Starter,Starter,,L,,3-Jan,7-Apr,11-Aug,15-Dec,16-,17-18,-,19-21,-,22+
86,TD,TD,Mark DeRosa,Rangers,10,2005,9,10,3B+0,3B+0,,R,,-,1-,4-Feb,6-May,9-Jul,17-Oct,-,18-20,-,21+
87,TD,TD,Bob Wickman,Indians,80,2005,2,1,Closer,Closer,,R,,1-,6-Feb,14-Jul,15-16,17-,18-19,-,20-23,-,24+
88,TD,TD,Hideo Nomo,Devil Rays,10,2005,1,5,Starter,Starter,,R,,3-Jan,6-Apr,10-Jul,15-Nov,16-,17-18,-,19-21,-,22+
89,TD,TD,Tony Armas,Nationals,80,2005,1,5,Starter,Starter,,R,,2-Jan,6-Mar,11-Jul,16-Dec,17-19,20-,-,21-23,-,24+
90,TD,TD,Desi Relaford,Rockies,110,2005,9,11,3B+2,3B+2,,S,,-,1-,3-Feb,5-Apr,9-Jun,17-Oct,-,18-19,-,20+
91,TD,TD,Russ Ortiz,Diamondbacks,20,2005,1,6,Starter,Starter,,R,,1-,5-Feb,11-Jun,16-Dec,17-,18-19,-,20-24,-,25+
92,TD,TD,Jose Vidro,Nationals,320,2005,11,16,2B+3,2B+3,,S,,-,2-Jan,4-Mar,5-,10-Jun,16-Nov,17-,18-,19-,20+
93,TD,TD,Jeff Kent,Dodgers,480,2005,10,12,2B+3,2B+3,,R,,-,1-,3-Feb,6-Apr,9-Jul,15-Oct,-,16-17,18-,19+
94,TD,TD,Esteban Yan,Angels,80,2005,2,1,Reliever,Reliever,,R,,2-Jan,6-Mar,13-Jul,14-15,16-17,18-19,-,20-25,-,26+
95,TD,TD,Tim Hudson,Braves,520,2005,5,7,Starter,Starter,,R,,1-,7-Feb,11-Aug,16-Dec,17-18,19-,-,20-24,-,25+
96,TD,TD,Jay Payton,Red Sox,110,2005,9,10,CF+3,CF+3,,R,,-,1-,4-Feb,6-May,10-Jul,17-Nov,-,18-19,-,20+
97,TD,TD,Tony Womack,Yankees,270,2005,11,18,2B+2,2B+2,,L,,-,1-,4-Feb,6-May,8-Jul,16-Sep,17-18,19-20,-,21+
98,TD,TD,Gregg Zaun,Blue Jays,190,2005,11,10,C+4,C+4,,S,,-,2-Jan,5-Mar,6-,11-Jul,17-Dec,-,18-19,-,20+
99,TD,TD,David Weathers,Reds,60,2005,1,1,Reliever,Reliever,,R,,3-Jan,7-Apr,14-Aug,15-16,17-,18-21,-,22-23,-,24+
100,TD,TD,Scott Podsednik,White Sox,300,2005,10,24,CF+2,CF+2,,L,,-,1-,4-Feb,6-May,9-Jul,15-Oct,16-17,18-,19-,20+
101,TD,TD,Mark Mulder,Cardinals,400,2005,4,7,Starter,Starter,,L,,1-,5-Feb,14-Jun,15-17,18-,19-,-,20-24,-,25+
102,TD,TD,Jose Guillen,Nationals,350,2005,10,11,LF-RF+1,LF-RF+1,,R,,-,1-,4-Feb,6-May,9-Jul,16-Oct,-,17-18,-,19+
103,TD,TD,Grady Sizemore,Indians,140,2005,10,12,CF+2,CF+2,,L,,-,1-,4-Feb,6-May,10-Jul,18-Nov,-,19-,-,20+
104,TD,TD,Paul Bako,Dodgers,10,2005,9,10,C+4,C+4,,L,,-,2-Jan,4-Mar,6-May,11-Jul,17-Dec,-,18-20,-,21+
105,TD,TD,Jeff DaVanon,Angels,170,2005,11,16,CF+1,CF+1,,S,,-,2-Jan,4-Mar,6-May,11-Jul,16-Dec,17-18,19-,-,20+
106,TD,TD,Jeff Nelson,Mariners,90,2005,1,1,Reliever,Reliever,,R,,4-Jan,9-May,15-Oct,16-,17-18,19-22,-,23-24,-,25+
107,TD,TD,Troy Percival,Tigers,210,2005,4,1,Closer,Closer,,R,,2-Jan,6-Mar,11-Jul,17-Dec,18-,19-21,-,22-23,-,24+
108,TD,TD,Brian Lawrence,Padres,120,2005,2,6,Starter,Starter,,R,,2-Jan,5-Mar,13-Jun,14-16,17-,18-19,-,20-23,-,24+
109,TD,TD,Mike Redmond,Twins,10,2005,9,10,C+3,C+3,,R,,-,1-,4-Feb,6-May,9-Jul,17-Oct,-,18-20,-,21+
110,TD,TD,Odalis Perez,Dodgers,380,2005,4,6,Starter,Starter,,L,,1-,5-Feb,13-Jun,14-17,18-,19-,-,20-23,-,24+
111,TD,TD,John Franco,Astros,100,2005,2,1,Reliever,Reliever,,L,,1-,5-Feb,13-Jun,14-16,17-,18-19,-,20-23,-,24+
112,TD,TD,Doug Brocail,Rangers,110,2005,2,1,Reliever,Reliever,,R,,1-,5-Feb,13-Jun,14-15,16-17,18-19,-,20-26,-,27+
113,TD,TD,Einar Diaz,Cardinals,10,2005,9,10,C+2,C+2,,R,,-,1-,4-Feb,6-May,10-Jul,18-Nov,-,19-20,-,21+
114,TD,TD,Mark Grudzielanek,Cardinals,300,2005,11,10,2B+3,2B+3,,R,,-,1-,4-Feb,6-May,8-Jul,17-Sep,-,18-19,-,20+
115,TD,TD,Jason Marquis,Cardinals,130,2005,2,6,Starter,Starter,,R,,2-Jan,6-Mar,14-Jul,15-16,17-,18-19,-,20-23,-,24+
116,TD,TD,Jayson Werth,Dodgers,130,2005,10,10,LF-RF+1,LF-RF+1,,R,,-,3-Jan,5-Apr,7-Jun,11-Aug,17-Dec,-,18-,-,19+
117,TD,TD,John Mabry,Cardinals,120,2005,10,10,LF-RF+0,LF-RF+0,,L,,-,2-Jan,4-Mar,6-May,10-Jul,17-Nov,-,18-19,-,20+
118,TD,TD,Alexis Rios,Blue Jays,160,2005,10,14,LF-RF+1,LF-RF+1,,R,,-,2-Jan,5-Mar,6-,9-Jul,16-Oct,17-,18-19,20-,21+
119,TD,TD,Livan Hernandez,Nationals,290,2005,4,7,Starter,Starter,,R,,1-,5-Feb,12-Jun,13-16,17-,18-19,-,20-24,-,25+
120,TD,TD,Zack Greinke,Royals,400,2005,5,6,Starter,Starter,,R,R,1-,5-Feb,10-Jun,16-Nov,17-,18-,-,19-22,-,23+
121,TD,TD,Chris Hammond,Padres,120,2005,3,1,Reliever,Reliever,,L,,1-,4-Feb,11-May,16-Dec,17-,18-19,-,20-25,-,26+
122,TD,TD,Kent Mercker,Reds,180,2005,4,1,Reliever,Reliever,,L,,3-Jan,8-Apr,13-Sep,14-15,16-17,18-19,-,20-25,-,26+
123,TD,TD,Ryan Drese,Rangers,110,2005,2,6,Starter,Starter,,R,,-,3-Jan,12-Apr,13-16,17-,18-19,-,20-25,-,26+
124,TD,TD,Pedro Martinez,Mets,460,2005,5,7,Starter,Starter,,R,,3-Jan,9-Apr,14-Oct,15-16,17-,18-20,-,21-23,-,24+
125,TD,TD,Alex Cora,Indians,130,2005,10,10,2B+2,2B+2,,L,,-,1-,4-Feb,6-May,10-Jul,18-Nov,-,19-,-,20+
126,TD,TD,Kenny Lofton,Phillies,60,2005,10,12,CF+1,CF+1,,L,,-,1-,4-Feb,6-May,11-Jul,18-Dec,-,19-,20-,21+
127,TD,TD,Adrian Beltre,Mariners,740,2005,13,12,3B+2,3B+2,,R,,-,1-,4-Feb,7-May,9-Aug,15-Oct,-,16-17,-,18+
128,TD,TD,David Eckstein,Cardinals,110,2005,10,15,SS+0,SS+0,,R,,-,1-,4-Feb,6-May,9-Jul,17-Oct,18-,19-20,-,21+
129,TD,TD,Derek Lowe,Dodgers,30,2005,1,6,Starter,Starter,,R,,1-,4-Feb,13-May,14-16,17-,18-19,-,20-25,-,26+
